Symbol,ROE,SE,Net Income
WFC,0.0233030841375778,187443000000.0,4368000000.0
QCOM,0.3351095871368333,21581000000.0,7232000000.0
TXN,0.3852754926910102,16897000000.0,6510000000.0
GE,0.3304174393785646,28579000000.0,9443000000.0
IBM,0.3317560695175341,22613000000.0,7502000000.0
AXP,0.2996171598268274,27949000000.0,8374000000.0
BX,-0.0031424800834999,18075214000.0,-56801000.0
ISRG,0.1356467347898457,13397300000.0,1817300000.0
NOW,0.2269271106449921,7628000000.0,1731000000.0
MS,0.5415274749454901,99982000000.0,54143000000.0
NEE,0.1064312821902954,59024000000.0,6282000000.0
AMAT,0.4193528656186923,16349000000.0,6856000000.0
GS,0.3956545913348445,116905000000.0,46254000000.0
SPGI,0.0759317585301837,38100000000.0,2893000000.0
UBER,0.170004731114966,12682000000.0,2156000000.0
SYK,0.1702253536277093,18593000000.0,3165000000.0
LMT,1.0124359912216532,6835000000.0,6920000000.0
COP,0.222346232675176,49279000000.0,10957000000.0
MDT,0.0732410722926546,51665000000.0,3784000000.0
PANW,0.2514870738961336,1748400000.0,439700000.0
CB,0.1415427611436466,63691000000.0,9015000000.0
ADP,0.972329087230344,3509100000.0,3412000000.0
ANET,0.2891403159331431,7219059000.0,2087321000.0
KKR,0.0518232165751907,58378912000.0,3025383000.0
LRCX,0.5494319729233443,8210172000.0,4510931000.0
DE,0.4639952481038106,21886000000.0,10155000000.0
CI,0.1158982546223382,46351000000.0,5372000000.0
FI,0.0054452378623365,30669000000.0,167000000.0
MDLZ,1.269689064372841,28366000000.0,36016000000.0
SO,0.1092689850958126,35225000000.0,3849000000.0
ICE,0.0945474288373536,25786000000.0,2438000000.0
CL,2.565308254963427,957000000.0,2455000000.0
WM,0.330046403712297,6896000000.0,2276000000.0
ZTS,0.4675324675324675,5005000000.0,2340000000.0
APH,0.2308787752922328,8426500000.0,1945500000.0
CMG,0.4012586347036631,3062207000.0,1228737000.0
CME,0.011104088204384,26737900000.0,296900000.0
AON,-3.5417789757412397,-742000000.0,2628000000.0
PYPL,1.4142321029879816,21051000000.0,29771000000.0
CVS,0.1091915026880317,76636000000.0,8368000000.0
MMM,-1.4336483155299915,4868000000.0,-6979000000.0
USB,0.0978644815405856,55771000000.0,5458000000.0
PNC,0.1104202107897772,51141000000.0,5647000000.0
WDAY,-0.065711727842435,5585000000.0,-367000000.0
ECL,0.1725675776120512,8072200000.0,1393000000.0
PLTR,0.0610438462607748,3560965000.0,217375000.0
CSX,0.3061897304871013,12133000000.0,3715000000.0
CRWD,-0.1225499753266363,1487434000.0,-182285000.0
APO,0.2578332343038225,25245000000.0,6509000000.0
CARR,0.0234314269850083,9005000000.0,211000000.0
SLB,0.2001498197481155,21359000000.0,4275000000.0
APD,0.1493330268257951,15660300000.0,2338600000.0
CEG,0.1397306397306397,11286000000.0,1577000000.0
DHI,0.2072443912368884,23137900000.0,4795200000.0
AFL,0.2119172162838299,21985000000.0,4659000000.0
FTNT,-2.476909797151489,-463400000.0,1147800000.0
MPC,0.0069110481225516,31399000000.0,217000000.0
PSX,0.0036334913112164,31650000000.0,115000000.0
NSC,0.1429465613019325,12781000000.0,1827000000.0
GM,0.1440555140761562,68307000000.0,9840000000.0
SPG,0.7096809359371602,3687598000.0,2617018000.0
COF,0.0841295253834633,58089000000.0,4887000000.0
MET,0.0529534261065018,30253000000.0,1602000000.0
AEP,0.0873564852102777,25328400000.0,2212600000.0
TRV,0.1200192608643312,24921000000.0,2991000000.0
TTD,0.0826810965064071,2164219000.0,178940000.0
CPRT,0.2067229066178533,5987440000.0,1237741000.0
BK,0.0801775220073642,41009000000.0,3288000000.0
LEN,0.1483520352022019,26701966000.0,3961291000.0
PCAR,0.1848111638668627,24894600000.0,4600800000.0
KDP,0.0849431375603676,25676000000.0,2181000000.0
ALL,-0.0170164492342597,17630000000.0,-300000000.0
AIG,0.0755930683612405,51301000000.0,3878000000.0
KMI,0.0783510353304547,31729000000.0,2486000000.0
